MSSubClass,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,WoodDeckSF,YrSold,SalePrice
60,8450,CollgCr,7,5,2003,2003,150,856,GasA,856,854,1710,2,8,2,548,0,2008,208500.00
20,9600,Veenker,6,8,1976,1976,284,1262,GasA,1262,0,1262,2,6,2,460,298,2007,181500.00
60,11250,CollgCr,7,5,2001,2002,434,920,GasA,920,866,1786,2,6,2,608,0,2008,223500.00
70,9550,Crawfor,7,5,1915,1970,540,756,GasA,961,756,1717,1,7,3,642,0,2006,140000.00
60,14260,NoRidge,8,5,2000,2000,490,1145,GasA,1145,1053,2198,2,9,3,836,192,2008,250000.00
50,14115,Mitchel,5,5,1993,1995,64,796,GasA,796,566,1362,1,5,2,480,40,2009,143000.00
20,10084,Somerst,8,5,2004,2005,317,1686,GasA,1694,0,1694,2,7,2,636,255,2007,307000.00
60,10382,NWAmes,7,6,1973,1973,216,1107,GasA,1107,983,2090,2,7,2,484,235,2009,200000.00
50,6120,OldTown,7,5,1931,1950,952,952,GasA,1022,752,1774,2,8,2,468,90,2008,129900.00
190,7420,BrkSide,5,6,1939,1950,140,991,GasA,1077,0,1077,1,5,1,205,0,2008,118000.00
20,11200,Sawyer,5,5,1965,1965,134,1040,GasA,1040,0,1040,1,5,1,384,0,2008,129500.00
60,11924,NridgHt,9,5,2005,2006,177,1175,GasA,1182,1142,2324,3,11,3,736,147,2006,345000.00
20,12968,Sawyer,5,6,1962,1962,175,912,GasA,912,0,912,1,4,1,352,140,2008,144000.00
20,10652,CollgCr,7,5,2006,2007,1494,1494,GasA,1494,0,1494,2,7,3,840,160,2007,279500.00
20,10920,NAmes,6,5,1960,1960,520,1253,GasA,1253,0,1253,1,5,1,352,0,2008,157000.00
45,6120,BrkSide,7,8,1929,2001,832,832,GasA,854,0,854,1,5,2,576,48,2007,132000.00
20,11241,NAmes,6,7,1970,1970,426,1004,GasA,1004,0,1004,1,5,2,480,0,2010,149000.00
90,10791,Sawyer,4,5,1967,1967,0,0,GasA,1296,0,1296,2,6,2,516,0,2006,90000.00
20,13695,SawyerW,5,5,2004,2004,468,1114,GasA,1114,0,1114,1,6,2,576,0,2008,159000.00
20,7560,NAmes,5,6,1958,1965,525,1029,GasA,1339,0,1339,1,6,1,294,0,2009,139000.00
60,14215,NridgHt,8,5,2005,2006,1158,1158,GasA,1158,1218,2376,3,9,3,853,240,2006,325300.00
45,7449,IDOTRR,7,7,1930,1950,637,637,GasA,1108,0,1108,1,6,1,280,0,2007,139400.00
20,9742,CollgCr,8,5,2002,2002,1777,1777,GasA,1795,0,1795,2,7,2,534,171,2008,230000.00
120,4224,MeadowV,5,7,1976,1976,200,1040,GasA,1060,0,1060,1,6,2,572,100,2007,129900.00
20,8246,Sawyer,5,8,1968,2001,204,1060,GasA,1060,0,1060,1,6,1,270,406,2010,154000.00
20,14230,NridgHt,8,5,2007,2007,1566,1566,GasA,1600,0,1600,2,7,3,890,0,2009,256300.00
20,7200,NAmes,5,7,1951,2000,180,900,GasA,900,0,900,1,5,2,576,222,2010,134800.00
20,11478,NridgHt,8,5,2007,2008,486,1704,GasA,1704,0,1704,2,7,3,772,0,2010,306000.00
20,16321,NAmes,5,6,1957,1997,207,1484,GasA,1600,0,1600,1,6,1,319,288,2006,207500.00
30,6324,BrkSide,4,6,1927,1950,520,520,GasA,520,0,520,1,4,1,240,49,2008,68500.00
70,8500,IDOTRR,4,4,1920,1950,649,649,GasA,649,668,1317,1,6,1,250,0,2008,40000.00
20,8544,Sawyer,5,6,1966,2006,1228,1228,GasA,1228,0,1228,1,6,1,271,0,2008,149350.00
20,11049,CollgCr,8,5,2007,2007,1234,1234,GasA,1234,0,1234,2,7,2,484,0,2008,179900.00
20,10552,NAmes,5,5,1959,1959,380,1398,GasA,1700,0,1700,1,6,2,447,0,2010,165500.00
120,7313,NridgHt,9,5,2005,2005,408,1561,GasA,1561,0,1561,2,6,2,556,203,2007,277500.00
60,13418,NridgHt,8,5,2004,2005,1117,1117,GasA,1132,1320,2452,3,9,3,691,113,2006,309000.00
20,10859,CollgCr,5,5,1994,1995,1097,1097,GasA,1097,0,1097,1,6,2,672,392,2009,145000.00
20,8532,NAmes,5,6,1954,1990,84,1297,GasA,1297,0,1297,1,5,2,498,0,2009,153000.00
20,7922,NAmes,5,7,1953,2007,326,1057,GasA,1057,0,1057,1,5,1,246,0,2010,109000.00
90,6040,Edwards,4,5,1955,1955,0,0,GasA,1152,0,1152,2,6,0,0,0,2008,82000.00
20,8658,NAmes,6,5,1965,1965,445,1088,GasA,1324,0,1324,2,6,2,440,0,2006,160000.00
20,16905,Timber,5,6,1959,1959,383,1350,GasA,1328,0,1328,1,5,1,308,0,2007,170000.00
85,9180,SawyerW,5,7,1983,1983,0,840,GasA,884,0,884,1,5,2,504,240,2007,144000.00
20,9200,CollgCr,5,6,1975,1980,167,938,GasA,938,0,938,1,5,1,308,145,2008,130250.00
20,7945,NAmes,5,6,1959,1959,465,1150,GasA,1150,0,1150,1,6,1,300,0,2006,141000.00
120,7658,NridgHt,9,5,2005,2005,1296,1752,GasA,1752,0,1752,2,6,2,576,196,2010,319900.00
50,12822,Mitchel,7,5,2003,2003,83,1434,GasA,1518,631,2149,1,6,2,670,168,2009,239686.00
20,11096,Somerst,8,5,2006,2006,1632,1656,GasA,1656,0,1656,2,7,3,826,0,2007,249700.00
190,4456,OldTown,4,5,1920,2008,736,736,GasA,736,716,1452,2,8,0,0,0,2009,113000.00
20,7742,Sawyer,5,7,1966,1966,192,955,GasA,955,0,955,1,6,1,386,0,2007,127000.00
60,13869,Gilbert,6,6,1997,1997,612,794,GasA,794,676,1470,2,6,2,388,0,2007,177000.00
50,6240,BrkSide,6,6,1934,1950,816,816,GasA,816,0,1176,1,6,2,528,112,2006,114500.00
